time	I(D1)
4.006056397899786e-05	-1.107349e-02
4.006250966398921e-05	-1.041481e-02
4.006640103397191e-05	-9.239120e-03
4.007418377393731e-05	-7.311818e-03
4.008731876395289e-05	-4.848553e-03
4.010498861751486e-05	-3.008077e-03
4.012178953484006e-05	-2.389230e-03
4.013946692884407e-05	-2.170639e-03
4.016378569538310e-05	-1.926495e-03
4.019237398786589e-05	-8.429189e-04
4.019914691817816e-05	-4.704746e-04
4.020724712570291e-05	-2.410612e-04
4.021151809196265e-05	-1.756069e-04
4.021661005303746e-05	-1.259700e-04
4.022085368285738e-05	-1.024424e-04
4.022542662490584e-05	-7.790586e-05
4.023057063633529e-05	-6.462867e-05
4.023533577023666e-05	-5.127888e-05
4.024138619227032e-05	-4.345469e-05
4.024718042653624e-05	-3.460803e-05
4.025446986250903e-05	-2.924958e-05
4.026194429069426e-05	-2.303034e-05
4.027132451580111e-05	-1.908023e-05
4.028118172654370e-05	-1.481042e-05
4.029394063886460e-05	-1.190005e-05
4.030722381888767e-05	-9.074392e-06
4.032517244053605e-05	-7.065010e-06
4.034565906397849e-05	-5.085725e-06
4.037634527186111e-05	-3.603270e-06
4.041624850803168e-05	-2.244036e-06
4.047684103888129e-05	-1.261137e-06
4.054001049845809e-05	-6.845694e-07
4.062701576688652e-05	-3.398913e-07
4.072857429816585e-05	-1.361166e-07
4.087524063488207e-05	-4.186312e-08
4.105587426635685e-05	3.714043e-09
4.134190143389112e-05	8.716150e-09
4.175494203116195e-05	1.424147e-08
4.258102322570361e-05	9.934108e-09
4.423318561478694e-05	9.648198e-09
4.618631061478694e-05	7.692766e-09
4.784887500000001e-05	-3.515909e-07
4.784987500000001e-05	-5.279435e-07
4.785187500000001e-05	-1.438132e-07
4.785481962708995e-05	-6.538214e-08
4.785789197723289e-05	-5.048374e-07
4.786380362509227e-05	9.636943e-08
4.787087497095248e-05	-2.067721e-07
4.788208689684587e-05	1.286603e-07
4.789860199892510e-05	-7.512500e-08
4.792220412289834e-05	7.410039e-08
