time,Vvrain,Vvgate,Vn004,-IR1,IM1
3.811396695199137e-06,5.091054e+01,4.772375e-01,0.000000e+00,-2.825672e-06,1.822133e-07
3.811483748770566e-06,5.091054e+01,4.772365e-01,0.000000e+00,-2.825562e-06,1.821555e-07
3.811570802341996e-06,5.091054e+01,4.772356e-01,0.000000e+00,-2.825452e-06,1.820977e-07
3.811657855913425e-06,5.091054e+01,4.772346e-01,0.000000e+00,-2.825342e-06,1.820400e-07
3.811744909484854e-06,5.091054e+01,4.772337e-01,0.000000e+00,-2.825233e-06,1.819822e-07
3.811831963056283e-06,5.091054e+01,4.772327e-01,0.000000e+00,-2.825123e-06,1.819244e-07
3.811919016627713e-06,5.091054e+01,4.772318e-01,0.000000e+00,-2.825013e-06,1.818667e-07
3.811922922877711e-06,5.091054e+01,4.772318e-01,0.000000e+00,-2.825008e-06,1.818613e-07
3.811927610377773e-06,5.091054e+01,4.772317e-01,0.000000e+00,-2.825002e-06,1.818631e-07
3.811936985377759e-06,5.091054e+01,4.772316e-01,0.000000e+00,-2.824990e-06,1.818555e-07
3.811946360377745e-06,5.091054e+01,4.772315e-01,0.000000e+00,-2.824978e-06,1.818482e-07
3.811955735377731e-06,5.091054e+01,4.772314e-01,0.000000e+00,-2.824966e-06,1.818413e-07
3.811965110377716e-06,5.091054e+01,4.772313e-01,0.000000e+00,-2.824955e-06,1.818346e-07
3.811974485377702e-06,5.091054e+01,4.772312e-01,0.000000e+00,-2.824943e-06,1.818284e-07
3.811983860377688e-06,5.091054e+01,4.772311e-01,0.000000e+00,-2.824931e-06,1.818224e-07
3.811993235377674e-06,5.091054e+01,4.772310e-01,0.000000e+00,-2.824919e-06,1.818168e-07
3.812244797877780e-06,5.091054e+01,4.772283e-01,0.000000e+00,-2.824602e-06,1.816486e-07
3.812254172877796e-06,5.091054e+01,4.772282e-01,0.000000e+00,-2.824590e-06,1.816435e-07
3.812291672877755e-06,5.091054e+01,4.772278e-01,0.000000e+00,-2.824543e-06,1.816181e-07
3.812343235377793e-06,5.091054e+01,4.772272e-01,0.000000e+00,-2.824478e-06,1.815893e-07
3.812344407252781e-06,5.091054e+01,4.772272e-01,0.000000e+00,-2.824476e-06,1.816004e-07
3.812344993190330e-06,5.091054e+01,4.772272e-01,0.000000e+00,-2.824476e-06,1.815839e-07
3.812347336940307e-06,5.091054e+01,4.772272e-01,0.000000e+00,-2.824473e-06,1.815795e-07
