time	V(N001,Vo)
4.005568080299563e-05	-1.148215e+00
4.005702069276843e-05	-7.130833e-01
4.005743755836884e-05	-1.434984e-01
4.005753264686058e-05	2.705288e-02
4.005758162581286e-05	8.745670e-02
4.005763098615042e-05	1.317301e-01
4.005767309712353e-05	1.623287e-01
4.005771642135860e-05	1.884756e-01
4.005776737551770e-05	2.138672e-01
4.005782484662290e-05	2.374315e-01
4.005790923215394e-05	2.649918e-01
4.005801518107952e-05	2.917461e-01
4.005821347014341e-05	3.299484e-01
4.005842405859935e-05	3.623648e-01
4.005884523551122e-05	4.182100e-01
4.005928487274485e-05	4.735880e-01
4.006016414721210e-05	5.822487e-01
4.006143172958749e-05	7.370348e-01
4.006396689433827e-05	1.039326e+00
4.006852756981216e-05	1.553548e+00
4.007764892075994e-05	2.463425e+00
4.009000627963242e-05	3.451617e+00
4.010466707701805e-05	4.331012e+00
4.012217382254352e-05	5.172862e+00
4.013984616697505e-05	5.947262e+00
4.016507549853201e-05	6.973811e+00
